Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Size Purchased,Size Exchanged
158,65,99,82,114,M,L
168,82,93,77,96,XL,L
189,59,91,78,86,L,S
171,68,108,93,93,M,S
167,86,83,76,87,L,M
172,52,86,79,85,XS,M
151,85,90,87,98,XL,S
160,53,99,85,112,XL,S
180,60,81,72,112,M,M
182,82,83,66,97,XS,S
156,60,101,69,98,S,L
163,76,87,74,102,M,M
177,61,108,91,98,XL,L
165,71,104,87,85,S,M
168,89,84,74,90,M,XL
166,86,93,68,113,L,XL
175,70,97,68,105,XS,S
155,82,82,72,94,S,L
166,78,104,89,86,XL,XL
180,89,101,91,91,L,L
172,67,93,82,111,XL,XL
154,62,95,85,108,XL,S
185,76,90,86,98,XS,M
185,59,107,72,107,S,S
152,81,96,84,91,M,XL
173,52,82,91,106,M,M
166,71,102,71,110,XS,XL
188,76,102,91,105,XS,XL
153,82,82,84,103,L,L
161,51,108,81,114,L,M
150,60,94,83,109,XS,S
170,59,102,66,105,L,M
168,88,84,93,108,M,L
170,82,101,93,95,XS,L
167,56,82,76,87,M,L
181,75,102,69,110,L,XL
159,60,93,91,88,XL,S
189,87,103,76,89,XL,S
164,76,81,81,88,S,S
154,88,97,69,97,S,M
153,59,103,68,107,XL,S
164,70,84,70,98,L,S
166,64,93,73,100,XL,L
152,79,96,90,106,XS,M
159,79,90,86,90,XS,L
172,57,80,74,111,S,XL
167,73,89,93,94,S,L
150,68,88,75,107,XS,XL
184,52,99,92,105,M,XL
180,64,91,66,110,S,L
150,85,105,88,97,L,S
152,55,80,85,114,M,L
152,67,106,89,87,L,XL
168,68,97,73,95,XS,XL
178,79,91,84,87,M,M
182,88,80,81,111,XS,L
185,61,80,91,114,XL,XL
175,61,108,73,85,XL,S
153,73,80,89,88,XS,L
163,53,101,72,110,L,XL
176,85,91,69,114,L,M
182,63,86,69,92,M,S
171,66,83,90,104,S,M
172,87,99,80,89,XL,M
170,72,83,65,101,M,XL
172,62,105,73,93,S,XL
153,58,94,85,92,L,M
186,57,85,75,91,M,XL
180,66,93,79,89,XS,XL
170,65,105,88,88,XS,M
175,65,93,69,107,M,M
187,65,86,70,92,S,S
173,63,102,87,89,XL,L
160,87,103,93,89,L,L
178,69,102,78,101,S,L
152,83,101,84,113,M,M
150,78,91,89,99,M,XL
168,52,103,78,110,M,XL
171,59,98,75,111,XS,S
163,69,88,68,92,M,XL
163,51,82,91,91,L,M
162,59,89,89,112,S,L
187,89,93,68,88,L,L
187,82,107,74,112,S,L
188,55,109,65,109,S,L
182,88,107,78,110,M,S
178,58,98,76,88,M,S
154,57,108,83,94,L,L
155,74,89,87,87,L,XL
180,80,101,76,110,L,L
165,53,84,89,89,L,L
180,69,84,92,96,XS,S
174,77,84,69,107,S,M
182,89,88,68,89,M,M
162,50,108,77,89,L,XL
159,89,102,82,88,S,L
173,72,107,94,114,M,M
159,62,88,93,109,XS,XL
180,65,94,76,90,XL,L
152,80,108,80,90,XL,XL
183,50,93,87,111,L,M
177,66,85,70,106,S,L
168,65,109,92,106,S,XL
172,86,101,92,85,M,S
181,59,99,71,100,XL,XL
162,87,87,88,95,XL,M
182,80,109,73,90,M,L
154,55,96,91,90,M,XL
152,77,89,85,101,XL,S
173,62,97,75,101,M,S
171,61,80,83,105,S,XL
172,89,101,93,106,L,L
179,51,81,71,102,L,L
154,58,84,82,88,L,XL
177,62,102,89,94,L,S
157,58,89,89,114,L,M
164,80,96,93,89,M,XL
182,80,94,69,114,XS,M
154,66,83,94,100,L,S
183,52,109,76,110,L,L
150,59,102,65,108,XL,M
153,78,103,82,90,XS,M
188,89,83,90,108,XL,M
175,67,99,85,105,XS,M
182,61,105,85,91,XL,XL
157,60,84,94,91,XL,L
169,58,90,88,106,M,XL
165,73,98,92,98,M,S
170,74,84,81,112,S,XL
172,58,87,92,114,XL,XL
167,61,86,73,113,XL,M
180,60,87,84,104,S,XL
161,87,92,72,106,XS,M
150,77,84,92,109,M,XL
158,57,107,79,95,S,S
158,85,103,85,88,S,XL
165,58,88,81,97,S,M
173,57,81,94,106,M,S
163,52,95,73,106,XL,M
183,84,96,85,87,M,M
182,66,107,94,97,S,S
173,85,85,75,104,XL,S
158,77,82,94,103,L,M
162,64,96,68,99,XL,L
151,68,92,88,103,M,S
156,71,85,89,110,XL,S
170,55,107,71,112,S,L
174,58,104,87,113,XS,XL
171,69,108,86,88,L,XL
160,86,85,91,90,M,XL
182,60,107,92,113,XL,XL
170,71,85,74,88,XS,L
188,85,96,67,90,M,S
157,56,82,78,88,M,XL
186,55,102,77,102,S,M
158,71,91,69,99,M,XL
182,69,106,70,96,L,S
151,77,85,88,93,S,M
168,72,100,87,91,M,XL
169,84,86,66,106,S,M
178,50,90,88,92,XS,L
155,78,88,68,104,XL,L
166,58,95,91,94,XS,S
174,58,84,69,95,M,M
153,51,100,77,114,S,XL
169,89,83,85,105,L,L
152,55,84,69,109,XL,M
172,62,86,70,105,S,S
167,82,82,79,109,S,M
175,68,83,87,93,M,L
157,82,94,80,89,M,M
166,59,107,94,98,XL,M
180,50,81,75,112,S,XL
186,61,103,71,86,XS,S
182,78,104,70,105,XS,S
176,66,84,76,111,XS,XL
153,53,86,90,101,XL,XL
171,78,101,68,92,L,L
181,62,87,75,107,L,XL
173,54,88,90,99,M,L
186,83,90,66,86,XL,M
181,56,80,75,112,XS,XL
156,77,94,77,95,L,S
182,59,87,75,98,S,S
180,53,98,73,114,L,M
161,52,91,90,105,XL,M
160,74,85,91,94,L,M
173,72,89,85,91,S,L
157,76,103,80,106,S,M
181,63,84,69,98,S,L
187,87,103,91,97,XL,XL
171,81,86,76,105,L,XL
183,72,86,67,106,XL,L
163,52,101,83,85,M,XL
182,84,101,81,85,XL,XL
153,73,94,85,95,XS,L
177,61,95,91,93,M,S
168,58,102,73,88,S,S
170,77,81,77,104,XL,M
171,63,108,94,107,L,S
158,76,107,90,90,XL,XL
158,67,87,70,86,L,XL
158,55,91,67,93,S,XL
176,82,90,87,102,XL,M
166,86,85,76,108,M,M
157,74,99,73,88,XL,XL
167,72,92,79,85,M,L
182,85,102,65,85,S,L
150,82,95,82,109,L,M
161,70,87,79,104,L,M
155,83,96,72,101,M,L
167,59,92,91,107,M,M
150,51,99,91,108,XS,L
168,84,89,78,107,XL,M
157,63,104,83,101,L,S
152,51,108,91,87,L,M
174,68,101,87,109,XS,XL
168,50,108,94,112,S,L
167,51,96,66,111,XL,M
180,76,87,79,113,L,L
182,51,90,83,97,S,M
167,79,104,89,114,S,M
188,59,84,80,114,L,S
165,65,105,91,99,XS,XL
187,62,95,93,96,XL,XL
163,80,87,71,105,XL,L
174,74,100,93,92,S,XL
181,88,95,81,85,M,S
187,70,83,83,102,M,S
171,87,85,89,97,L,S
165,78,105,71,91,XL,XL
178,55,100,76,97,XL,S
165,67,87,77,101,L,S
161,84,88,93,97,L,L
186,54,96,78,97,XS,XL
174,59,92,66,114,S,S
162,59,88,70,95,XL,L
154,85,106,79,105,M,M
161,59,89,84,94,S,XL
152,84,84,80,92,M,S
184,84,86,90,90,M,S
182,86,90,66,103,S,M
171,69,103,67,107,M,S
167,60,104,84,96,L,S
176,87,82,94,102,XL,XL
185,53,108,72,110,M,XL
166,86,87,72,104,M,XL
183,68,96,85,102,M,XL
152,86,86,71,107,L,M
154,63,91,75,87,XS,M
163,80,95,86,93,L,L
172,85,100,72,90,L,L
188,87,108,73,85,XL,M
179,68,92,80,94,L,L
176,72,97,87,113,S,XL
159,77,103,78,107,M,S
174,53,84,65,101,M,M
165,88,107,88,87,XS,S
183,74,90,83,114,XL,M
171,55,96,86,91,S,M
172,61,102,77,95,L,M
185,74,106,72,112,S,M
158,84,91,91,102,S,XL
181,54,102,65,106,S,L
171,50,107,83,112,L,S
162,57,81,79,86,M,M
157,88,83,85,98,XS,XL
150,67,97,91,85,XS,L
166,58,99,72,88,XS,M
153,53,93,77,99,XL,S
162,78,87,76,112,L,L
180,50,81,73,104,XS,S
156,79,105,84,104,L,M
172,50,98,88,101,L,XL
173,52,89,75,87,L,L
154,71,107,69,107,M,M
154,57,108,83,88,L,M
166,67,84,85,102,XL,S
179,74,90,82,108,M,XL
158,69,107,75,111,L,L
155,80,107,91,85,S,S
174,79,88,75,113,XS,S
168,65,95,70,109,M,M
165,51,105,65,89,S,M
170,66,106,86,102,XS,M
159,56,94,85,98,S,L
165,58,93,93,104,XL,L
186,66,88,73,87,XL,XL
162,58,105,94,90,S,XL
162,86,84,71,111,M,XL
185,57,100,87,104,L,XL
175,74,100,74,112,L,L
159,51,83,69,103,L,XL
180,59,99,65,91,XL,S
182,73,106,79,106,XL,M
178,65,100,89,105,S,L
154,68,107,69,94,S,S
162,80,101,84,91,M,L
150,60,86,70,89,M,S
172,55,94,69,109,M,M
189,55,101,81,112,XS,M
152,81,96,82,88,L,L
152,88,97,68,101,XL,XL
156,62,86,88,110,L,S
185,52,109,85,112,XL,M
184,84,98,87,89,XS,S
189,66,89,72,112,M,XL
152,52,106,69,113,L,XL
178,83,92,68,101,L,L
179,61,81,89,101,L,S
188,73,101,86,85,XS,S
167,55,106,78,108,L,M
189,73,90,67,107,M,S
150,67,84,78,114,XL,M
178,76,85,93,111,XS,XL
159,70,82,90,103,XL,L
177,83,80,82,93,XL,XL
152,52,101,76,99,XS,S
164,50,86,84,89,XS,M
182,55,108,84,97,S,XL
175,68,94,90,88,XS,S
165,71,90,73,97,L,M
185,57,97,66,90,S,M
182,54,91,65,96,XL,L
182,77,90,79,99,XS,M
154,53,85,92,105,S,S
186,73,105,72,99,L,M
163,57,98,67,101,S,M
172,83,107,68,89,S,XL
189,65,94,76,109,S,L
153,59,82,82,108,XS,L
188,83,96,85,89,L,S
168,59,80,74,105,M,XL
153,79,81,85,98,S,M
179,79,109,72,86,L,XL
180,69,88,81,111,S,M
158,66,87,83,99,S,M
162,52,91,70,88,XS,L
180,75,94,72,90,S,L
186,59,104,72,98,XS,S
172,83,102,82,89,XL,S
176,63,86,94,111,M,L
151,59,86,78,98,M,S
162,64,99,84,91,S,M
168,86,100,78,98,XS,M
150,71,91,81,97,XS,L
189,80,96,94,102,XL,M
181,51,90,66,109,L,S
171,80,83,78,86,XL,XL
178,63,98,91,93,M,L
189,79,81,85,104,XL,XL
187,85,103,76,113,XS,S
166,64,103,89,95,XL,M
157,63,88,80,110,XS,L
171,80,101,86,90,S,M
153,78,80,70,85,L,L
160,76,89,82,89,S,S
157,70,107,71,106,M,S
175,69,94,77,98,XS,L
151,84,100,87,109,S,XL
165,64,94,72,100,M,M
180,73,104,76,93,S,L
155,65,102,65,114,L,XL
170,85,100,73,103,S,M
175,60,108,72,113,S,S
168,57,81,73,104,XL,S
157,68,83,77,92,S,S
163,52,97,78,100,XL,S
173,85,88,68,102,XS,S
186,74,81,81,92,L,L
180,60,97,94,93,XL,L
181,65,96,84,89,XL,XL
151,66,88,79,86,L,S
174,73,87,84,105,M,XL
151,66,81,68,98,XS,XL
150,69,81,66,102,XS,L
185,71,84,92,97,XL,S
161,55,91,91,96,XS,L
158,56,108,77,99,M,M
185,63,109,68,105,XS,M
177,60,107,82,99,XL,S
187,61,95,88,113,S,XL
182,54,93,80,109,S,L
171,54,99,87,107,XL,XL
174,69,81,91,107,S,M
167,64,103,74,85,XS,L
155,75,87,66,109,XL,L
167,82,108,78,106,XL,L
165,79,83,66,91,XL,S
164,73,109,82,97,S,S
157,72,99,65,112,L,S
162,58,88,77,102,S,L
156,52,99,70,85,XL,XL
181,56,106,81,97,L,XL
171,71,104,91,104,XL,M
162,63,98,81,112,S,M
172,78,81,86,93,M,S
171,83,90,70,109,XS,S
150,59,87,84,114,M,XL
178,56,91,67,100,M,S
154,74,82,78,95,S,M
184,76,92,89,87,S,M
159,64,81,70,101,L,S
168,81,92,81,86,XL,XL
186,77,106,67,93,L,L
156,58,87,81,93,L,XL
184,56,94,83,100,M,S
162,65,103,82,112,S,XL
159,75,100,69,85,M,M
155,66,90,67,101,L,M
157,72,101,87,94,L,M
185,57,100,72,104,XL,L
174,51,107,71,89,L,S
189,80,82,82,92,S,L
156,81,86,74,97,S,L
172,78,93,90,105,L,S
168,52,94,87,89,XL,XL
162,51,99,83,109,L,L
170,80,90,87,113,XS,L
150,86,86,65,92,S,XL
168,69,91,66,109,XS,S
182,78,98,92,107,XS,M
153,66,106,90,91,XS,XL
152,59,97,65,89,L,M
184,55,90,93,101,XS,L
155,80,85,79,90,XS,M
155,61,100,82,94,XS,M
172,61,81,82,100,M,M
182,65,92,86,106,M,L
165,74,92,71,94,M,S
173,71,98,78,88,XL,S
154,76,88,93,86,S,L
162,73,98,82,85,L,S
161,61,102,94,87,M,S
154,67,80,84,111,S,L
186,65,102,83,97,S,S
180,53,104,93,113,L,S
177,61,107,69,109,XL,XL
176,82,105,69,94,L,XL
175,68,103,86,93,S,M
167,74,108,79,96,M,L
174,73,97,88,85,XL,M
186,72,109,84,98,XL,S
151,54,106,75,86,S,M
182,85,88,73,111,M,L
188,73,94,85,89,M,S
181,85,82,86,94,XS,S
167,54,109,92,104,XS,XL
166,88,106,80,90,S,S
188,85,102,66,86,XS,S
156,53,97,89,93,L,S
184,59,93,72,113,XS,XL
184,89,107,85,109,XS,S
160,88,89,69,111,S,L
153,86,103,75,90,L,L
181,80,100,73,105,M,L
153,72,96,73,104,S,M
150,76,92,90,86,L,M
152,69,109,74,96,L,S
186,62,93,91,92,S,XL
166,52,88,83,112,XS,S
162,62,105,88,107,L,XL
184,63,95,69,88,XS,M
165,51,102,68,96,XL,M
167,88,86,78,98,M,L
156,80,91,94,114,XS,XL
185,53,105,71,87,L,XL
156,68,97,88,99,XS,XL
164,86,97,71,107,M,L
168,73,108,86,88,XL,M
186,62,90,79,114,M,M
162,68,93,92,111,M,M
189,59,83,71,93,XL,M
165,89,81,90,110,M,S
155,69,100,81,100,L,XL
177,53,93,69,107,L,XL
181,87,86,72,93,XS,S
159,88,88,74,96,S,M
167,54,87,70,98,XL,XL
153,81,88,85,99,S,L
158,55,86,66,106,L,S
156,63,98,90,108,L,M
157,55,96,92,105,XL,L
156,63,105,69,100,S,S
189,61,102,74,92,XS,M
166,75,90,67,94,M,M
151,61,101,77,98,S,L
164,57,97,80,101,L,XL
178,59,96,79,87,XL,S
153,75,95,94,100,L,S
155,57,89,67,98,S,M
175,69,109,82,109,M,XL
160,66,83,94,108,S,S
175,68,101,84,98,M,S
166,66,90,84,100,XS,L
173,88,100,79,92,XS,M
177,50,104,86,102,XL,L
180,63,88,69,112,L,S
184,62,89,75,90,M,XL
165,78,102,87,104,M,XL
164,83,88,67,100,XS,L
167,76,82,73,106,M,L
186,82,104,71,88,M,L
176,78,81,87,103,S,S
184,86,88,66,86,XL,XL
184,88,92,79,88,M,XL
177,68,85,76,110,XS,L
188,73,83,80,86,XS,XL
187,63,107,90,91,XL,S
158,86,93,80,99,M,M
161,54,107,80,101,M,S
184,80,81,92,101,XS,L
168,58,105,86,107,M,L
172,76,82,84,98,L,M
162,77,84,68,101,S,S
150,75,104,65,112,XL,XL
173,85,90,72,104,XL,M
165,57,91,88,105,S,S
174,67,108,79,86,L,M
172,69,90,88,91,S,S
165,78,92,90,92,S,L
187,67,83,86,114,S,S
160,56,93,69,114,XS,S
152,50,91,84,85,XL,M
150,82,81,84,85,M,M
156,53,109,84,85,M,L
150,69,87,68,88,XL,XL
181,85,101,94,101,L,M
158,80,98,86,89,XL,XL
178,87,92,79,98,M,M
175,77,100,70,114,L,S
172,52,100,69,90,L,L
178,55,107,92,91,XS,XL
187,72,80,75,92,S,XL
182,56,108,78,108,XS,M
156,85,84,75,102,S,L
161,50,101,73,112,XS,M
180,55,105,88,88,L,XL
181,73,105,74,107,S,L
169,86,106,70,109,M,M
166,85,90,75,109,L,S
185,73,90,73,111,XL,L
152,87,92,69,87,L,S
150,78,81,74,112,M,L
176,86,98,84,107,XS,XL
189,81,95,78,88,S,L
182,74,105,70,109,XS,S
169,59,84,68,107,XS,M
163,84,93,88,100,S,XL
185,74,108,87,97,XS,S
172,81,84,74,106,XL,L
155,53,103,75,107,XS,S
168,52,88,71,108,XS,S
162,66,103,82,95,M,XL
178,58,91,89,89,L,M
155,78,95,71,104,XL,M
164,50,98,88,85,XL,L
165,67,94,94,98,S,XL
172,83,109,79,106,XS,XL
166,84,82,82,103,M,XL
179,65,96,79,89,S,M
159,70,92,82,104,XS,L
168,62,106,67,111,XL,M
178,84,88,65,111,XS,M
151,81,107,65,107,XL,XL
168,55,95,74,103,XL,XL
175,87,93,91,110,M,S
164,62,87,72,113,L,L
152,62,98,87,112,S,S
187,61,104,81,98,L,L
151,77,82,81,114,M,M
180,52,102,89,91,S,L
177,67,100,85,105,L,L
156,75,97,87,85,XL,XL
179,89,95,70,101,S,L
156,51,93,84,90,L,XL
185,53,95,81,88,L,S
178,77,103,84,98,XL,L
188,74,99,90,102,L,L
153,75,90,72,104,M,L
154,83,90,80,97,XS,L
178,79,107,76,92,XL,XL
178,86,83,93,108,L,M
175,72,108,81,100,L,L
168,82,105,82,89,XL,L
175,51,93,72,87,S,XL
176,71,83,75,99,M,L
179,83,80,77,88,L,XL
179,65,93,76,87,L,M
152,69,86,79,111,M,M
156,75,89,90,86,XS,XL
162,55,81,67,88,XL,L
164,72,89,67,109,XS,XL
154,86,82,70,90,XS,XL
178,57,100,67,88,XL,XL
184,55,87,73,101,M,S
176,86,89,75,114,XS,M
176,71,87,72,91,L,S
157,55,93,68,102,S,XL
181,81,97,86,112,XS,M
169,66,88,88,106,M,L
159,87,101,84,94,XL,L
162,66,88,79,101,L,S
178,86,109,93,113,S,S
184,72,83,69,107,XS,M
157,62,82,71,88,M,L
178,81,93,72,111,S,S
180,71,93,71,103,S,XL
179,56,100,72,110,L,XL
171,71,95,68,91,L,S
161,55,99,86,87,XS,S
151,65,102,75,95,M,L
151,52,103,68,100,S,S
183,58,94,66,104,M,L
152,70,100,81,103,L,S
165,79,88,89,107,M,S
153,79,86,76,107,M,XL
172,81,92,66,93,L,XL
178,79,80,72,113,M,L
168,75,82,93,99,M,L
172,72,83,93,91,M,L
173,73,102,65,88,XL,S
151,51,89,69,88,S,L
170,55,99,78,99,M,S
167,56,96,74,101,XL,L
175,74,86,77,107,XL,L
151,75,85,90,90,XL,L
153,82,82,88,98,XS,L
183,50,101,84,96,L,S
167,53,95,74,98,S,S
173,54,83,92,112,XS,L
173,86,88,83,103,S,XL
176,65,80,77,104,M,L
184,85,80,66,101,M,L
186,55,108,73,112,XS,S
154,71,89,69,102,XS,L
175,62,97,74,107,XS,S
163,65,91,78,113,S,L
188,78,107,85,101,XS,XL
176,55,96,81,102,S,S
158,75,80,67,98,L,L
175,78,105,69,94,S,S
162,52,89,68,97,S,L
181,59,97,67,113,S,S
188,50,108,90,104,XL,S
181,75,88,77,100,S,L
186,74,82,87,114,M,L
172,57,81,92,102,M,L
171,63,98,84,96,XL,S
177,65,91,93,92,XS,L
177,53,81,85,89,S,L
160,58,106,76,101,XS,S
188,74,85,78,94,S,L
162,60,89,88,86,M,L
176,79,106,81,114,M,XL
164,61,95,73,105,M,L
172,65,103,90,107,L,XL
181,81,92,73,95,L,XL
153,83,109,78,87,M,XL
154,83,91,66,85,L,L
165,88,102,91,103,S,XL
185,67,89,90,107,L,XL
152,68,87,89,107,XL,L
168,55,98,94,97,M,L
169,50,83,77,86,XL,L
156,82,102,94,104,S,XL
182,70,82,65,100,XS,L
188,74,95,86,96,XL,XL
167,68,103,78,109,L,XL
160,61,99,88,88,M,S
177,82,108,93,114,XS,XL
154,73,85,81,108,S,L
181,78,99,84,93,XS,XL
168,65,87,91,89,XS,L
152,81,88,81,105,L,L
169,55,101,67,86,M,S
174,74,92,81,96,S,L
184,83,108,93,95,M,XL
153,69,93,82,90,L,L
163,68,92,93,95,S,L
171,84,105,78,104,XL,XL
179,64,88,91,114,XL,L
183,56,97,81,99,M,S
177,54,84,65,109,XS,L
173,86,103,73,90,L,XL
178,86,104,91,89,S,XL
167,75,90,76,96,L,L
152,89,81,65,95,XL,L
172,80,105,94,93,XL,XL
151,68,87,90,106,M,L
151,88,100,69,114,S,XL
175,78,107,81,95,XS,XL
173,58,102,88,97,M,S
169,80,105,73,91,L,S
157,58,88,67,112,XS,L
177,65,91,74,86,M,S
183,68,101,67,110,S,S
171,61,99,74,110,XS,S
171,70,82,89,103,M,L
186,85,89,87,89,L,XL
153,61,108,85,102,XL,S
155,84,88,81,98,L,L
179,61,98,86,89,S,S
186,80,80,70,104,XL,L
158,67,90,87,110,XL,L
165,76,94,88,101,S,L
154,74,87,69,90,L,L
161,86,82,69,96,S,L
178,70,100,65,113,XL,S
154,54,90,92,100,S,L
165,53,91,88,86,XS,L
175,73,102,88,88,XL,S
188,66,95,73,101,XS,S
154,80,100,89,97,XL,XL
185,55,103,87,93,L,S
181,65,103,85,108,S,XL
165,61,93,79,85,S,S
173,55,81,66,107,L,L
161,65,81,92,101,L,L
184,55,101,79,95,L,S
182,86,86,81,107,S,XL
162,71,109,73,98,XS,S
184,79,107,81,103,XL,XL
183,84,84,67,89,L,L
185,79,96,92,114,L,XL
186,77,108,72,98,XS,XL
184,54,87,79,111,M,L
169,88,88,76,86,M,L
174,78,98,83,113,XS,XL
168,86,102,73,100,M,XL
161,72,96,74,111,L,L
165,55,98,74,109,XL,L
163,54,85,90,108,L,L
172,50,84,68,98,M,L
178,62,90,90,92,S,L
176,69,84,71,101,M,L
168,63,96,77,100,S,L
150,63,81,92,88,S,L
166,65,83,87,89,L,L
168,64,94,71,95,M,S
175,65,92,86,109,XS,L
168,57,96,90,87,XL,S
152,55,98,67,101,XL,L
155,89,102,88,105,M,XL
170,79,91,93,113,L,XL
165,75,108,70,88,XL,S
160,82,102,88,88,M,XL
186,88,101,83,105,XL,XL
180,62,102,82,89,M,S
160,86,96,90,114,L,XL
159,61,109,81,108,M,S
181,85,109,88,99,L,XL
185,64,83,66,88,S,S
166,65,87,76,94,XS,L
182,78,108,81,95,XS,XL
169,55,102,68,113,XS,S
178,71,90,79,87,M,S
162,73,83,94,92,XS,L
151,54,81,87,109,XS,L
150,64,83,85,107,S,L
167,54,91,89,108,XS,L
175,86,83,82,111,M,L
184,53,103,94,113,XL,S
150,70,101,80,87,XS,S
170,80,90,73,107,XL,L
154,84,97,79,89,S,L
152,77,86,92,88,XS,L
183,65,91,94,107,XL,XL
166,76,91,73,92,XL,L
182,58,105,94,110,S,S
162,52,93,85,89,XL,L
160,87,84,67,92,S,L
157,50,83,73,90,S,L
181,80,89,87,112,M,XL
175,57,100,69,114,XS,S
183,87,83,93,102,S,XL
158,78,93,76,111,XL,L
166,52,99,86,114,XL,L
177,71,103,75,101,S,S
151,84,94,71,107,S,L
167,60,92,90,104,L,L
175,50,104,73,91,L,S
153,83,88,71,106,M,L
185,65,106,86,98,M,S
168,55,104,70,91,S,S
186,68,88,82,114,S,L
170,72,103,85,112,L,XL
155,72,92,85,100,XS,L
158,52,84,69,102,XL,L
152,56,99,80,105,XL,L
186,59,89,72,102,XS,S
153,82,84,73,100,S,L
187,75,99,69,106,M,XL
159,77,84,89,90,L,L
162,71,86,87,90,M,L
189,86,90,67,98,XS,XL
184,57,86,84,93,S,L
158,85,98,85,109,XS,XL
183,66,83,65,105,L,L
184,70,82,91,98,S,L
163,57,89,79,93,L,L
175,58,105,74,98,XL,S
189,77,99,69,109,XS,XL
164,85,105,66,111,XL,XL
174,54,103,80,97,L,S
155,59,87,92,109,XL,L
152,52,93,74,103,XS,L
157,87,86,87,95,L,L
164,74,95,83,96,M,L
188,70,99,92,89,S,S
178,80,100,68,110,S,XL
159,80,91,71,107,XL,L
162,61,83,92,101,XS,L
161,78,87,76,114,XS,L
176,57,80,70,99,XS,L
185,84,92,91,101,XS,XL
185,80,102,88,86,L,XL
176,81,100,93,110,XL,XL
187,81,91,85,90,XL,XL
155,69,106,68,113,M,S
172,69,101,69,90,L,S
175,67,91,80,91,L,S
161,50,95,91,110,XL,L
153,63,103,84,114,S,L
186,85,86,88,98,L,XL
175,81,101,82,105,S,XL
185,52,108,78,112,M,S
164,71,103,77,93,XS,S
174,65,89,84,97,M,L
160,81,102,76,108,XS,XL
151,73,97,67,98,XL,L
174,89,89,78,93,L,XL
155,62,86,71,114,XL,L
178,79,98,70,110,M,XL
171,74,89,75,113,S,L
162,58,106,71,91,XL,S
179,68,97,80,96,S,S
179,56,87,71,87,XL,S
177,77,80,76,89,XL,L
181,60,93,69,114,L,L
159,60,84,71,109,XL,L
168,80,86,71,90,XS,L
183,62,104,75,91,XL,S
172,74,106,75,103,M,XL
177,80,106,77,90,L,XL
170,75,98,87,99,XS,XL
154,74,85,87,98,XS,L
152,68,95,92,98,M,L
154,74,96,83,97,S,L
186,65,86,93,110,M,L
166,62,103,69,110,M,S
172,83,104,93,92,S,XL
174,83,92,81,100,XL,XL
188,64,107,79,93,S,S
176,54,91,74,110,S,L
185,50,83,71,86,XL,S
170,69,94,77,96,S,S
154,59,104,65,98,S,S
182,60,101,91,105,L,S
169,61,99,77,101,L,S
168,80,91,90,100,S,L
158,84,95,77,90,M,L
158,53,108,94,93,S,S
189,77,92,73,102,M,XL
165,82,105,87,104,M,XL
157,66,103,88,103,XS,L
155,55,89,84,100,M,L
164,68,96,86,113,XS,L
175,72,93,85,97,L,XL
156,76,106,83,98,L,XL
171,56,81,89,100,L,L
158,69,86,83,100,L,L
183,52,93,89,96,XL,S
189,79,97,82,100,M,XL
178,59,82,75,90,XS,L
174,89,106,88,109,XL,XL
162,64,101,79,109,L,L
167,73,83,78,109,XS,L
181,65,88,73,106,XS,L
188,89,84,70,113,M,XL
165,51,98,65,93,M,S
179,58,89,76,89,L,S
163,56,93,94,90,M,L
153,70,102,75,113,XL,L
154,84,104,94,102,L,XL
154,88,107,92,101,L,XL
169,51,88,86,101,L,L
184,73,107,90,106,XL,XL
173,55,91,74,96,XS,L
184,61,106,65,105,M,S
162,52,102,77,112,XS,L
174,62,102,85,109,XL,S
160,54,104,83,88,XL,S
187,82,89,94,97,M,XL
178,80,102,73,112,S,XL
189,51,92,84,105,L,S
183,51,102,87,94,L,S
173,60,98,76,102,S,S
185,63,96,65,87,XS,S
154,66,95,71,102,L,L
185,73,98,68,109,S,XL
163,66,106,74,109,L,S
178,69,90,80,94,XL,S
151,75,89,93,94,L,L
183,80,98,80,85,M,XL
168,58,93,87,94,XL,L
179,59,105,81,92,XL,S
153,61,93,69,99,M,L
153,80,88,76,104,L,L
185,82,108,72,99,XL,XL
156,81,86,73,110,XL,L
178,60,102,65,110,M,S
160,87,107,69,94,L,XL
164,68,101,78,99,M,S
181,55,97,91,103,M,S
183,62,83,79,113,L,L
166,61,107,88,88,XS,S
178,74,95,78,91,M,S
178,52,80,73,92,M,L
163,72,97,67,89,M,S
169,52,85,82,103,L,L
178,76,84,87,92,S,L
155,71,98,93,98,L,L
168,77,96,82,92,XS,XL
187,86,82,83,112,L,XL
164,70,93,89,106,L,L
173,89,100,70,107,M,XL
174,87,91,77,94,M,XL
164,89,107,89,100,XL,XL
176,87,95,65,113,L,XL
164,65,83,85,85,XL,L
156,54,83,74,107,XS,L
166,54,88,67,106,L,L
157,86,88,76,105,XS,L
170,55,91,83,102,L,L
167,85,89,69,101,S,L
174,78,102,72,91,XL,S
182,63,92,70,87,M,S
173,82,109,65,100,S,XL
161,65,109,91,85,XS,S
182,85,95,65,111,XS,XL
162,57,98,65,92,L,S
162,75,106,85,98,M,XL
175,51,89,73,97,XL,L
171,61,85,88,102,XS,L
188,67,86,74,103,S,L
163,82,105,88,111,M,XL
157,53,108,77,90,M,S
178,78,90,86,109,XS,XL
186,81,102,84,92,S,XL
182,77,94,73,88,S,S
153,70,94,81,104,XL,L
151,77,108,94,109,M,XL
